BOND_CODE,BOND_NAME,FACILITY_CODE,FACILITY_NAME,IND_NAME,STATUS,BASEL_FG,RULE_1,RULE_2,RULE_3,RULE_4,RULE_5,SENIORITY_RANKING
RD040184,MIDF CP 183D 05.01.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC040247,MIDF CP 90D 15.12.2004,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050006,MIDF CP 89D 14.03.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC040337,MIDF CP 89D 14.03.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC040340,MIDF CP 91D 21.03.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RD050001,MIDF CP 180D 04.07.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050056,MIDF CP 86D 15.06.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050049,MIDF CP 93D 15.06.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050137,MIDF CP 92D 15.09.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RD050159,MIDF CP 184D 04.01.2006,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050227,MIDF CP 91D 15.12.2005,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC050324,MIDF CP 90D 15.03.2006,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RD060001,MIDF CP 181D 04.07.2006,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RC060075,MIDF CP 92D 15.06.2006,199950034,MIDF RM200M RUF,Development Bank,R,N,0,0,0,0,0,Senior
PI00194W,SABAH DEV 7.500% 06.10.2005,200000050,SABAH DEV RM320M NON-CONV. RUB,Development Bank,R,N,0,0,0,0,0,Senior
PS00196F,BPIMB RM500.0 Million 7.000% 30.10.2015,200000054,BPIMB $2.5B INFRA. NOTES PROG.,Development Bank,R,N,0,0,0,0,0,Senior
PZ00197S,BPIMB RM500 Million 7.500% 30.10.2025,200000054,BPIMB $2.5B INFRA. NOTES PROG.,Development Bank,A,N,0,0,0,0,0,Senior
RB050251,SABAHDEV CP 34D 08.11.2005,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA050284,SABAHDEV CP 30D 08.12.2005,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA050315,SABAHDEV CP 29D 06.01.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB060002,SABAHDEV CP 32D 07.02.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060036,SABAHDEV CP 30D 09.03.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB060069,SABAHDEV CP 32D 10.04.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060107,SABAHDEV CP 30D 10.05.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060141,SABAHDEV CP 30D 09.06.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB060167,SABAHDEV CP 32D 11.07.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060188,SABAHDEV CP 31D 24.07.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060228,SABAHDEV CP 31D 24.08.2006,200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA060384,SABAHDEV CP 31D 18.01.2007 (Issue No.79),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070031,SABAHDEV CP 32D 27.02.2007 (Issue No.80),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070037,SABAHDEV CP 31D 02.03.2007 (Issue No.81),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070049,SABAHDEV CP 30D 15.03.2007 (Issue No.82),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070071,SDBB CP 30D 29.03.2007 (Issue No.83),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070077,SDBB CP 30D 30.03.2007 (Issue No.85),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070076,SDBB CP 32D 03.04.2007 (Issue No.84),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070115,SDBB CP 32D 30.04.2007 (Issue No.86),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070117,SDBB CP 34D 03.05.2007 (Issue No.87),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070126,SDBB CP 35D 07.05.2007 (Issue No.89),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070127,SDBB CP 31D 04.05.2007 (Issue No.88),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RA070163,SDBB CP 29D 29.05.2007 (Issue No.90),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
RB070164,SDBB CP 33D 05.06.2007 (Issue No.91),200100028,SABAH DEV RM500M RUF,Development Bank,R,N,0,0,0,0,0,Senior
